DATE,DI1F17,DI1F18,DI1F19,DI1F20,DI1F21,DI1F22,DI1F23,DI1F24,DI1F25,DI1F26,DI1F27,DI1F30,DI1J17,DI1J18,DI1J19,DI1J20,DI1J21,DI1K16,DI1M16,DI1N16,DI1N17,DI1N18,DI1N19,DI1N20,DI1N21,DI1N22,DI1N23,DI1N24,DI1Q16,DI1U16,DI1V16,DI1V17,DI1V18,DI1V19,DI1V20,DI1V21,DI1X16
2016-04-04 10:50:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,2700.0,,252.0,499.0,749.0,,,,,,313.0,562.0,811.0,,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 10:55:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:00:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,,1315.0,,,,,,,377.0,626.0,877.0,,1380.0,
2016-04-04 11:05:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,,313.0,562.0,811.0,1064.0,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 11:10:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,,,,,,,313.0,562.0,,,,,,,,,,,626.0,,,,
2016-04-04 11:15:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:20:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,,313.0,562.0,811.0,,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 11:25:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:30:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:35:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,,562.0,,1064.0,1315.0,,,,,,,,626.0,877.0,1129.0,1380.0,
2016-04-04 11:40:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:45:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:50:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 11:55:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,62.0,313.0,562.0,811.0,,1315.0,,,,,,127.0,377.0,626.0,,,1380.0,
2016-04-04 12:00:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,,749.0,1003.0,1253.0,,,,,562.0,811.0,1064.0,1315.0,,,,,,,,626.0,877.0,1129.0,1380.0,
2016-04-04 12:05:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,1253.0,,,62.0,313.0,562.0,811.0,,1315.0,,,,,,127.0,377.0,626.0,877.0,,1380.0,
2016-04-04 12:10:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,,,252.0,499.0,749.0,,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 12:15:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,,,,499.0,749.0,,,,,62.0,313.0,562.0,,,,,,,,,127.0,377.0,626.0,877.0,,,
2016-04-04 12:20:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,,2197.0,,,,252.0,499.0,749.0,,,,,62.0,313.0,562.0,811.0,,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 12:25:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,,,,,,313.0,562.0,811.0,,,,,,,,127.0,377.0,626.0,877.0,,,
2016-04-04 12:30:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 12:35:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,,2197.0,2450.0,2700.0,,252.0,499.0,749.0,,,,,62.0,313.0,562.0,811.0,1064.0,,,,,,,127.0,377.0,626.0,877.0,1129.0,,
2016-04-04 12:40:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 12:45:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,,,252.0,499.0,749.0,,1253.0,,,,313.0,562.0,,,1315.0,,,,,,127.0,377.0,626.0,877.0,,1380.0,
2016-04-04 12:50:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 12:55:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,83.0,106.0,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:00:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,1253.0,19.0,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:05:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,19.0,40.0,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,83.0,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:10:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,62.0,,562.0,,,,,,,,,127.0,377.0,626.0,877.0,,,
2016-04-04 13:15:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,,749.0,,,,,62.0,313.0,562.0,,,,,,,,,127.0,377.0,626.0,,,,
2016-04-04 13:20:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,,,252.0,499.0,749.0,1003.0,,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,106.0,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:25:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:30:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:35:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 13:40:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,,2197.0,2450.0,,,,,749.0,,,,,62.0,313.0,562.0,,,,,,,,,127.0,377.0,626.0,,,,
2016-04-04 13:45:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,,,,,,,,,,,313.0,562.0,,,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 13:55:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,,749.0,1003.0,,,,,313.0,562.0,811.0,1064.0,,,,,,,127.0,377.0,626.0,877.0,1129.0,,
2016-04-04 14:00:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,,2197.0,2450.0,,,,,749.0,1003.0,,,,62.0,,562.0,811.0,1064.0,,,,,,,127.0,,626.0,877.0,,1380.0,
2016-04-04 14:05:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:15:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,,,,,62.0,313.0,562.0,811.0,,,,,,,,,377.0,626.0,877.0,,,
2016-04-04 14:20:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,,313.0,562.0,811.0,,1315.0,,,,,,127.0,377.0,626.0,877.0,,1380.0,
2016-04-04 14:25:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:30:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:35:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,,,252.0,499.0,,,,,,,313.0,562.0,,,,,,,,,127.0,377.0,626.0,,,,
2016-04-04 14:40:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:45:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,106.0,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:50:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,,,,252.0,499.0,749.0,1003.0,,,,,313.0,,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 14:55:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:00:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:05:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:10:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,,,377.0,626.0,877.0,,1380.0,
2016-04-04 15:15:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,,,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:20:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,,499.0,749.0,,,,,,313.0,,,,1315.0,,,,,,,377.0,626.0,877.0,,1380.0,
2016-04-04 15:25:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,,313.0,562.0,811.0,1064.0,1315.0,,,,,106.0,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:35:00,189.0,438.0,688.0,941.0,1192.0,1443.0,1694.0,1943.0,2197.0,2450.0,2700.0,,252.0,499.0,749.0,1003.0,1253.0,,,62.0,313.0,562.0,811.0,1064.0,1315.0,,,,83.0,106.0,127.0,377.0,626.0,877.0,1129.0,1380.0,
2016-04-04 15:40:00,,438.0,688.0,941.0,1192.0,1443.0,1694.0,,2197.0,2450.0,2700.0,,,,749.0,1003.0,,,,,,562.0,811.0,,1315.0,,,,,106.0,,,,877.0,,1380.0,
2016-04-05 09:20:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 09:25:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,61.0,312.0,561.0,810.0,1063.0,1314.0,,,,,105.0,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 09:30:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,,,,,,312.0,561.0,810.0,,1314.0,,,,,,126.0,376.0,625.0,876.0,,1379.0,
2016-04-05 09:35:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,39.0,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 09:40:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,,,748.0,,,,,,312.0,561.0,810.0,,1314.0,,,,,,,376.0,625.0,,,1379.0,
2016-04-05 09:45:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,39.0,,312.0,561.0,810.0,1063.0,1314.0,,,,,,,376.0,625.0,876.0,1128.0,1379.0,
2016-04-05 09:50:00,188.0,437.0,687.0,940.0,1191.0,1442.0,1693.0,1942.0,2196.0,2449.0,2699.0,,251.0,498.0,748.0,1002.0,1252.0,,,,312.0,561.0,810.0,1063.0,1314.0,,,,,,126.0,376.0,625.0,876.0,1128.0,1379.0,
